DESIGNATION_ID,DESIGNATION_DESC,CR_BY,MOD_BY,ACTIVE,OFLINE
394.0,DEVELOPMENT COMMISSIONER,2.0,,Y,0
395.0,CIVIPOL MONITORS PROV. COMM. OFFICER,1.0,,Y,0
396.0,F A O REP. IN YEMEN,1.0,,Y,0
397.0,MINISTER ,1.0,,Y,0
398.0,ADDL. CONTROLLER,1.0,,Y,0
399.0,JT METROPOLITAN COMMISSIONER,2.0,,Y,0
400.0,MUNICIPAL COMMISSIONER,2.0,,Y,0
401.0,PERMANENT REPRESENTATIVE,4.0,,Y,0
402.0,SPECIAL SECRETARY,2.0,,Y,0
403.0,AMBASSADOR,1.0,,Y,0
404.0,HIGH COMMISSIONER,1.0,,Y,0
405.0,PRINCIPAL ADVISOR,2.0,,Y,0
406.0,LIBRARIAN,6.0,,Y,0
407.0,DY. LIBRARIAN,1.0,,Y,0
408.0,ASST. LIBRARIAN,1.0,,Y,0
409.0,CONSUL. GENERAL,4.0,,Y,0
410.0,COUNCEL GENERAL,1.0,,Y,0
411.0,DEPUTY CHIEF OF MISSION,4.0,,Y,0
412.0,UNIVERSITY LIBRARIAN,6.0,,Y,0
413.0,ADDL DIST MAGISTRATE,2.0,,Y,0
414.0,CHIEF LIBRARIAN,1.0,,Y,0
415.0,COURSE PARTICIPANT,2.0,,Y,0
416.0,CHIEF OF PROTOCOL,4.0,,Y,0
417.0,ASSISTANT DIRECTOR,8.0,,Y,0
418.0,SR. RESIDENT,7.0,,Y,0
419.0,DY. HIGH COMMISSIONER,4.0,,Y,0
420.0,DEMONSTRATOR,4.0,,Y,0
421.0,UGC EMERITIES FELLOW ,2.0,,Y,0
422.0,CIVIL ASST SURGEON,2.0,,Y,0
423.0,GROUP LEADER,2.0,,Y,0
424.0,PROCTOR,1.0,,Y,0
425.0,SR. RADIOLOGIST,8.0,,Y,0
426.0,SR SPECIALIST,4.0,,Y,0
427.0,PSYCHIATRIST,4.0,,Y,0
428.0,ASSTT. SEROLOGIST,7.0,,Y,0
429.0,SEROLOGIST,7.0,,Y,0
430.0,SR. EYE SPECIALIST,1.0,,Y,0
431.0,EYE SPECIALIST,1.0,,Y,0
432.0,CHAIRPERSON,1.0,,Y,0
433.0,SPOKESPERSON,1.0,,Y,0
434.0,PUBLIC RELATION OFFICER P R O,1.0,,Y,0
435.0,VICE CHAIRPERSON,8.0,,Y,0
436.0,FACULTY,6.0,,Y,0
437.0,DEPUTY CHIEF MEDICAL DIRECTOR,1.0,,Y,0
438.0,DIRECTOR AND VICE CHANCELLOR,6.0,,Y,0
439.0,D E A,1.0,,Y,0
440.0,HEADMASTER,1.0,,Y,0
441.0,HEADMISTRESS,4.0,,Y,0
442.0,EDUCATIONALIST,1.0,,Y,0
443.0,PROFCUMSENIOR AGRONOMIST,2.0,,Y,0
444.0,PROF CUM SENIOR AGRONOMIST,2.0,,Y,0
445.0,PRINCIPAL INVESTIGATOR,4.0,,Y,0
446.0,SR. AGRONOMIST,4.0,,Y,0
447.0,SENIOR AGRONOMIST,6.0,,Y,0
448.0,AGRONOMIST,6.0,,Y,0
449.0,EXPERT,6.0,,Y,0
450.0,SR. WHEAT BREEDER,1.0,,Y,0
451.0,CHIEF AGRONOMIST,5.0,,Y,0
452.0,HORTICULTARIST,2.0,,Y,0
453.0,MICROBIOLOGIST,6.0,,Y,0
454.0,SR MICROBIOLOGIST,6.0,,Y,0
455.0,CHIEF SCIENTIST,1.0,,Y,0
456.0,CHIEF SCIENTIST AND HEAD,1.0,,Y,0
457.0,SCIENTIST AND HEAD,7.0,,Y,0
458.0,PROJECT COORDINATOR,2.0,,Y,0
459.0,SR. CHEMIST,1.0,,Y,0
460.0,PHYSICIST,1.0,,Y,0
