DEGREE_ID,DEGREE_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE
221.0,NATIONAL DIPLOMA IN FINE ARTS,3.0,1.0,N,0
222.0,SR. ARTIST,8.0,1.0,N,0
223.0,DIPLOMA IN ART,8.0,1.0,N,0
224.0,SCHOLAR,8.0,1.0,N,0
225.0,D A,2.0,22.0,Y,0
226.0,DIPLOMA IN PAINTING,8.0,1.0,N,0
227.0,POST DIPLOMA IN,8.0,1.0,N,0
228.0,F. I. C. A.,9.0,1.0,N,0
229.0,F I C S,8.0,1.0,N,0
230.0,D F M ,4.0,1.0,N,0
231.0,D. T. D.,9.0,1.0,N,0
232.0,F A C S,5.0,1.0,N,0
233.0,D H A ,2.0,1.0,N,0
234.0,P G D H R M ,2.0,1.0,N,0
235.0,B D S,4.0,,Y,0
236.0,M D S,4.0,,Y,0
237.0,F I A P ,2.0,22.0,Y,0
238.0,H A ,9.0,1.0,N,0
239.0,M A M S ,9.0,1.0,N,0
240.0,F O S,9.0,1.0,N,0
241.0,POST DOCTORAL FELLOW,8.0,,Y,0
242.0,D I C,8.0,1.0,N,0
243.0,D A S ,2.0,1.0,N,0
244.0,D I P I,2.0,1.0,N,0
245.0,F C C P,9.0,1.0,N,0
246.0,F I C A ,2.0,1.0,N,0
247.0,F I M S A ,2.0,1.0,N,0
248.0,F A O I,2.0,1.0,N,0
249.0,D R C O G,7.0,1.0,N,0
250.0,M R C O G,7.0,1.0,N,0
251.0,F R C O G,7.0,1.0,N,0
252.0,D D E,2.0,1.0,N,0
253.0,F I C O G ,7.0,1.0,N,0
254.0,D T C D,3.0,1.0,N,0
255.0,D H A ,2.0,1.0,N,0
256.0,D BACT,9.0,1.0,N,0
257.0,D C P ,7.0,1.0,N,0
258.0,D P B ,7.0,1.0,N,0
259.0,D S W,9.0,5.0,Y,0
260.0,B COM HONS.,1.0,1.0,N,0
261.0,F I C W A,9.0,1.0,N,0
262.0,C S,8.0,1.0,N,0
263.0,I C N A,8.0,1.0,N,0
264.0,P G D M,9.0,1.0,N,0
265.0,U B,9.0,1.0,N,0
266.0,D PATH,2.0,1.0,N,0
267.0,MEDICO CIRURGIAO,2.0,1.0,N,0
268.0,F C S,8.0,1.0,N,0
269.0,I C S I,2.0,1.0,N,0
270.0,F F I I,9.0,1.0,N,0
271.0,A F I A,9.0,1.0,N,0
272.0,ACCOUNTS OFFICER,4.0,1.0,N,0
273.0,OPERATIONS RESEARCH,2.0,1.0,N,0
274.0,POST GRADUATE,9.0,1.0,N,0
275.0,HONOURS,9.0,1.0,N,0
276.0,REGISTERED NURSE  REGISTERED MIDWIFE,2.0,1.0,N,0
277.0,B.COM HONOURS,11.0,1.0,N,0
278.0,B.COM,11.0,1.0,N,0
279.0,D L O,4.0,,Y,0
280.0,M A M S,4.0,,Y,0
281.0,MEDICINE CERTIFICATE,4.0,,Y,0
282.0,UNIVERSITY OF WALES U.K.,6.0,,Y,0
283.0,M M SC,6.0,,Y,0
284.0,D.H.A,4.0,,Y,0
285.0,F.I.C.S,4.0,,Y,0
286.0,F.I.C.O.G,4.0,,Y,0
287.0,P.G.D.H.M,4.0,,Y,0
288.0,P.G.C IN HOSPITAL MANAGEMENT,4.0,,Y,0
289.0,W.H.O FELLOWSHIP,4.0,,Y,0
290.0,F.I.C.P,4.0,,Y,0
291.0,B. PHARMA,4.0,,Y,0
292.0,M. PHARMA,4.0,,Y,0
293.0,M. PHIL,4.0,,Y,0
294.0,D H A,6.0,,Y,0
295.0,A P S UNIVERSITY REVA,6.0,6.0,N,0
296.0,CERTIFICATE COURSE,6.0,,Y,0
297.0,D.I.I.T.,6.0,,Y,0
298.0,B. A.,6.0,,Y,0
299.0,B.A. HONOURS,6.0,,Y,0
300.0,M.A.,6.0,,Y,0
301.0,B. E,4.0,,Y,0
302.0,A.M.I.E,4.0,,Y,0
303.0,M.E,5.0,,Y,0
304.0,M.TECH,5.0,,Y,0
305.0,B. TECH,5.0,,Y,0
306.0,MASTER IN FINANCIAL MANAGEMENT,5.0,,Y,0
307.0,B. E. MARINE ENGG.,5.0,,Y,0
308.0,M. B. A,5.0,,Y,0
309.0,M. SC ENGG.,5.0,,Y,0
310.0,B. MET,5.0,,Y,0
311.0,D. M. I. T,5.0,,Y,0
312.0,A. M.AE.S.I,5.0,,Y,0
313.0,D. I. I. T,4.0,,Y,0
314.0,A. M. I. I. CH. E,5.0,,Y,0
315.0,B. SC TECH,5.0,,Y,0
316.0,D. SC,5.0,,Y,0
317.0,B. SC TECH.,5.0,,Y,0
318.0,DIPLOMA IN PERSONAL MGMT.,5.0,,Y,0
319.0,D. P. M,5.0,,Y,0
320.0,MASTER OF TOWN AND COUNTRY PLANNING,4.0,,Y,0
321.0,L.L.B,4.0,,Y,0
322.0,M. ARCH,4.0,,Y,0
323.0,M. SC TECH,5.0,,Y,0
324.0,GRADUATED IN NAUTICAL SCIENCE,5.0,,Y,0
325.0,FINAL EXAM OF HYDROGRAPHY,5.0,,Y,0
326.0,PILOTAGE LICENCE,5.0,,Y,0
327.0,M. O. T IIND CHARS,5.0,,Y,0
328.0,M. O. T IST CHARS,5.0,,Y,0
329.0,M. I. E,5.0,,Y,0
330.0,D. PHIL,5.0,,Y,0
331.0,DIP. R. P,5.0,,Y,0
332.0,D. V. D,5.0,,Y,0
333.0,B. A HONS.,5.0,,Y,0
334.0,B. V. SC,5.0,,Y,0
335.0,M. V. SC,5.0,,Y,0
336.0,LLM,5.0,,Y,0
337.0,B.ED,4.0,25.0,Y,0
338.0,M. ED,4.0,,Y,0
339.0,M.LITT,5.0,,Y,0
340.0,M. E,4.0,,Y,0
341.0,PROFESSIONAL ADV. TRG. IN PRINTING TECH.,5.0,,Y,0
342.0,I.C.W.A,4.0,,Y,0
343.0,B.V.SC,4.0,,Y,0
344.0,M.V.SC,4.0,,Y,0
345.0,D.LITT,5.0,,Y,0
346.0,D. B. A,5.0,,Y,0
347.0,D D,6.0,,Y,0
348.0,B. SC HONS.,5.0,,Y,0
349.0,P. R. S,5.0,,Y,0
350.0,A.M,5.0,,Y,0
351.0,B. SC. B. ED,4.0,,Y,0
352.0,MASTER OF JOURNALISM AND MASS COMMUNICATION,4.0,,Y,0
353.0,D.H.M.S ,4.0,,Y,0
354.0,M.D HOMOEO,4.0,,Y,0
355.0,G.H.M.S,4.0,,Y,0
356.0,D M ,5.0,,Y,0
357.0,F A C C ,5.0,,Y,0
358.0,B.A.M.S.,6.0,,Y,0
359.0,B.I.M.S.,6.0,,Y,0
360.0,MD(AYURVEDA),4.0,66.0,Y,0
361.0,B.U.M.S,4.0,,Y,0
362.0,B. SC NURSING,4.0,,Y,0
363.0,M. SC NURSING,4.0,,Y,0
364.0,B. SC AGRICULTURE,4.0,,Y,0
365.0,M. SC AGRICULTURE,4.0,,Y,0
366.0,B. TEXT.,4.0,,Y,0
367.0,M. TEXT.,4.0,,Y,0
368.0,B. COM,4.0,,Y,0
369.0,M.F.A.M ,4.0,,Y,0
370.0,M.COM,4.0,,Y,0
371.0,M.A.SC,4.0,,Y,0
372.0,D. F. SC,4.0,,Y,0
373.0,M.C.A,4.0,,Y,0
374.0,F.M.B.S,4.0,,Y,0
375.0,SHASTRI,4.0,,Y,0
376.0,D.PHARMACY,4.0,,Y,0
377.0,MASTER IN MANAGEMENT STUDIES,4.0,,Y,0
378.0,B.SC. MECHANICAL ENGG.,4.0,,Y,0
379.0,B SC. AGRI. HONS. ,4.0,,Y,0
380.0,M SC. AGRI.,4.0,,Y,0
381.0,B SC AGRI.,4.0,,Y,0
382.0,B.E.CIVIL,4.0,,Y,0
383.0,B.E. TECH.,4.0,,Y,0
384.0,M. TECH EQUIVALENT,4.0,,Y,0
385.0,M.TECH EQUIVALENT,4.0,,Y,0
386.0,B.E.MECH,4.0,,Y,0
387.0,B.TEXTILES,3.0,,Y,0
388.0,M.SC.TEXTILE TECHNOLOGY,3.0,,Y,0
389.0,B.PHARMA,4.0,,Y,0
390.0,D.O.,4.0,,Y,0
391.0,M.S.,4.0,,Y,0
392.0,D.G.O.,4.0,,Y,0
393.0,MRCOG,4.0,,Y,0
394.0,PRE COMMISSION TRAINING,4.0,,Y,0
395.0,MA AE SI,4.0,,Y,0
396.0,M AE SI,4.0,,Y,0
397.0,M A M N S,5.0,,Y,0
398.0,B F SC,5.0,,Y,0
399.0,M F SC,5.0,,Y,0
